STATE	<BIGBANG>	<ABRE_CHAVE>	<FECHA_CHAVE>	<ENTROPIA>	<ID>	<NUM_BOOL_TRUE>	<NUM_BOOL_FALSE>	<NUM_INTEGER>	<NUM_FLOAT>	<OP_ARIT_MAIS>	<OP_ARIT_MULTI>	<OP_ARIT_MENOS>	<OP_ARIT_DIV>	<OP_LOGICO_E>	<OP_LOGICO_OU>	<OP_LOGICO_NAO_LOGICO>	<ATRIBUICAO>	<PONTO_VIRGULA>	<TIPO_NUM_INTEGER>	<TIPO_NUM_FLOAT>	<TIPO_NUM_BOOL>	<OP_REL_MENOR>	<OP_REL_MAIOR>	<OP_REL_MENOR_IG>	<OP_REL_MAIOR_IG>	<OP_REL_DIF_IG>	<OP_REL_IG_IG>	<IF>	<ABRE_PARENT>	<FECHA_PARENT>	<ELSE>	<FOR>	<WHILE>	$	S	D	F	J	R	N	P	E	K	B	Q	L	T	V	U	X	G
137	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	r25	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
138	?	?	?	?	r16	r16	r16	r16	r16	s39	s40	s41	s42	s43	s44	s45	?	?	?	?	?	?	?	?	?	?	?	?	?	r10	?	?	?	?	?	?	?	?	147	?	148	?	?	?	?	?	?	?	?	?	?
139	?	?	?	?	r11	r11	r11	r11	r11	r11	r11	r11	r11	r11	r11	r11	?	?	?	?	?	?	?	?	?	?	?	?	?	r11	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
140	?	?	?	?	r12	r12	r12	r12	r12	r12	r12	r12	r12	r12	r12	r12	?	?	?	?	?	?	?	?	?	?	?	?	?	r12	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
141	?	?	?	?	r13	r13	r13	r13	r13	r13	r13	r13	r13	r13	r13	r13	?	?	?	?	?	?	?	?	?	?	?	?	?	r13	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
142	?	?	?	?	r14	r14	r14	r14	r14	r14	r14	r14	r14	r14	r14	r14	?	?	?	?	?	?	?	?	?	?	?	?	?	r14	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
143	?	?	?	?	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	?	?	?	?	?	?	?	?	?	?	?	?	?	r15	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
144	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	r33	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
145	?	?	r4	?	s33	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	s36	?	?	?	s34	s35	?	?	149	?	?	?	?	?	30	?	?	?	?	?	?	32	?	31
146	?	?	s150	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
147	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	r7	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
148	?	?	?	?	s139	s140	s141	s142	s143	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	151	?	?	?	?	?	?	?	?	?	?	?
149	?	?	s152	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
150	?	?	r46	?	r46	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	r46	?	?	?	r46	r46	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
151	?	?	?	?	r16	r16	r16	r16	r16	s39	s40	s41	s42	s43	s44	s45	?	?	?	?	?	?	?	?	?	?	?	?	?	r10	?	?	?	?	?	?	?	?	153	?	148	?	?	?	?	?	?	?	?	?	?
152	?	?	r44	?	r44	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	r44	?	?	?	r44	r44	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
153	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	r9	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
